time,amplitude,energy
0.000000000000000000e+00,2.003519721712443413e-02,3.489383234769067421e+00
1.000000000000000000e+00,1.836838355445452597e-02,3.488849660226330585e+00
2.000000000000000000e+00,1.697419695995699973e-02,3.488724993010779318e+00
3.000000000000000000e+00,1.567751494770003307e-02,3.488618781891983822e+00
4.000000000000000000e+00,1.448105740501814953e-02,3.488527992607805661e+00
5.000000000000000000e+00,1.338885602374151329e-02,3.488450285210340063e+00
6.000000000000000000e+00,1.238847269816634178e-02,3.488383729060133831e+00
7.000000000000000000e+00,1.146981491985782364e-02,3.488326698517528968e+00
8.000000000000000000e+00,1.062446439552411359e-02,3.488277813905561242e+00
9.000000000000000000e+00,9.845267798087031785e-03,3.488235900337184336e+00
1.000000000000000000e+01,9.126061449202693687e-03,3.488199955664070817e+00
1.100000000000000000e+01,8.461477189100063967e-03,3.488169124127665111e+00
1.200000000000000000e+01,7.846799449170771545e-03,3.488142674241693442e+00
1.300000000000000000e+01,7.277855544567279900e-03,3.488119980155625743e+00
1.400000000000000000e+01,6.750928563147851058e-03,3.488100505976564403e+00
1.500000000000000000e+01,6.262686720238552773e-03,3.488083792587757248e+00
1.600000000000000000e+01,5.810125621442452371e-03,3.488069446536202101e+00
1.700000000000000000e+01,5.390521184853835912e-03,3.488057130614478751e+00
1.800000000000000000e+01,5.001391507006625048e-03,3.488046555831155970e+00
1.900000000000000000e+01,4.640466124758435562e-03,3.488037474532283522e+00
2.000000000000000000e+01,4.305661213693245948e-03,3.488029674493334564e+00
2.100000000000000000e+01,3.995059401208811423e-03,3.488022973840646745e+00
2.200000000000000000e+01,3.706893082691675723e-03,3.488017216688829691e+00
2.300000000000000000e+01,3.439530362752019066e-03,3.488012269398635734e+00
2.400000000000000000e+01,3.191462969021396923e-03,3.488008017372231429e+00
2.500000000000000000e+01,2.961295672539221435e-03,3.488004362312708384e+00
2.600000000000000000e+01,2.747736891739460674e-03,3.488001219882765014e+00
2.700000000000000000e+01,2.549590259722456231e-03,3.487998517705311663e+00
2.800000000000000000e+01,2.365747004372642515e-03,3.487996193655728661e+00
2.900000000000000000e+01,2.195179034966909803e-03,3.487994194402296966e+00
3.000000000000000000e+01,2.036932657010770420e-03,3.487992474157609823e+00
3.100000000000000000e+01,1.890122852224007666e-03,3.487990993609493717e+00
3.200000000000000000e+01,1.753928069487487029e-03,3.487989719004525480e+00
3.300000000000000000e+01,1.627585476707271717e-03,3.487988621361920671e+00
3.400000000000000000e+01,1.510386628039706025e-03,3.487987675798695619e+00
3.500000000000000000e+01,1.401673502739897437e-03,3.487986860950126999e+00
3.600000000000000000e+01,1.300834875360368237e-03,3.487986158472008658e+00
3.700000000000000000e+01,1.207302981542035525e-03,3.487985552613027007e+00
3.800000000000000000e+01,1.120550446475188089e-03,3.487985029847509910e+00
3.900000000000000000e+01,1.040087448411886051e-03,3.487984578559955029e+00
4.000000000000000000e+01,9.654590922678618625e-04,3.487984188774229999e+00
4.100000000000000000e+01,8.962429728190945966e-04,3.487983851921021561e+00
4.200000000000000000e+01,8.320469095378646429e-04,3.487983560638305391e+00
4.300000000000000000e+01,7.725068383387379001e-04,3.487983308600085319e+00
4.400000000000000000e+01,7.172848471503900925e-04,3.487983090369518813e+00
4.500000000000000000e+01,6.660673443487086232e-04,3.487982901272896452e+00
4.600000000000000000e+01,6.185633502239218373e-04,3.487982737291559499e+00
4.700000000000000000e+01,5.745029031858361890e-04,3.487982594969211814e+00
4.800000000000000000e+01,5.336355730958253218e-04,3.487982471332470080e+00
4.900000000000000000e+01,4.957290747333864545e-04,3.487982363822641041e+00
5.000000000000000000e+01,4.605679750844249298e-04,3.487982270237299343e+00
5.100000000000000000e+01,4.279524886465768674e-04,3.487982188680116558e+00
5.200000000000000000e+01,3.976973552846096993e-04,3.487982117517872016e+00
5.300000000000000000e+01,3.696307954275113161e-04,3.487982055343452181e+00
5.400000000000000000e+01,3.435935378413024210e-04,3.487982000944275018e+00
5.500000000000000000e+01,3.194379152824389223e-04,3.487981953275009150e+00
5.600000000000000000e+01,2.970270237554473169e-04,3.487981911434242299e+00
5.700000000000000000e+01,2.762339412438752362e-04,3.487981874644419999e+00
5.800000000000000000e+01,2.569410019906959164e-04,3.487981842234616714e+00
5.900000000000000000e+01,2.390391226279042769e-04,3.487981813625702809e+00
6.000000000000000000e+01,2.224271766810836937e-04,3.487981788317628951e+00
6.100000000000000000e+01,2.070114141399237440e-04,3.487981765878457985e+00
6.200000000000000000e+01,1.927049229929478358e-04,3.487981745934955580e+00
6.300000000000000000e+01,1.794271298081184796e-04,3.487981728164483819e+00
6.400000000000000000e+01,1.671033366195118219e-04,3.487981712288029446e+00
6.500000000000000000e+01,1.556642915362393964e-04,3.487981698064201552e+00
6.600000000000000000e+01,1.450457906941871045e-04,3.487981685284066380e+00
6.700000000000000000e+01,1.351883092804984088e-04,3.487981673766676227e+00
6.800000000000000000e+01,1.260366595481343666e-04,3.487981663355260054e+00
6.900000000000000000e+01,1.175396738621881099e-04,3.487981653913910574e+00
7.000000000000000000e+01,1.096499109547455220e-04,3.487981645324732316e+00
7.100000000000000000e+01,1.023233837034176474e-04,3.487981637485388475e+00
7.200000000000000000e+01,9.551930685425258361e-05,3.487981630307019021e+00
7.300000000000000000e+01,8.919986323030482112e-05,3.487981623712350210e+00
7.400000000000000000e+01,8.332998707127892146e-05,3.487981617634174913e+00
7.500000000000000000e+01,7.787716324603177753e-05,3.487981612013987487e+00
7.600000000000000000e+01,7.281124116476078711e-05,3.487981606800794943e+00
7.700000000000000000e+01,6.810426232717325945e-05,3.487981601950126631e+00
7.800000000000000000e+01,6.373030048067995779e-05,3.487981597423138957e+00
7.900000000000000000e+01,5.966531348056136608e-05,3.487981593185889739e+00
8.000000000000000000e+01,5.588700598391227459e-05,3.487981589208675182e+00
8.100000000000000000e+01,5.237470217756001745e-05,3.487981585465430800e+00
8.200000000000000000e+01,4.910922781453663788e-05,3.487981581933341957e+00
8.300000000000000000e+01,4.607280085211495901e-05,3.487981578592310505e+00
8.400000000000000000e+01,4.324893010099195578e-05,3.487981575424674574e+00
8.500000000000000000e+01,4.062232124402154199e-05,3.487981572414844411e+00
8.600000000000000000e+01,3.817878973233490569e-05,3.487981569549070571e+00
8.700000000000000000e+01,3.590518002449805124e-05,3.487981566815178791e+00
8.800000000000000000e+01,3.378929072528347177e-05,3.487981564202372819e+00
8.900000000000000000e+01,3.181980516175908491e-05,3.487981561701072319e+00
9.000000000000000000e+01,2.998622704231124203e-05,3.487981559302754331e+00
9.100000000000000000e+01,2.827882079170507268e-05,3.487981556999792510e+00
9.200000000000000000e+01,2.668855622722787757e-05,3.487981554785401173e+00
9.300000000000000000e+01,2.520705727260263984e-05,3.487981552653454109e+00
9.400000000000000000e+01,2.382655440491543430e-05,3.487981550598489910e+00
9.500000000000000000e+01,2.253984055911040230e-05,3.487981548615569860e+00
9.600000000000000000e+01,2.134023024347175834e-05,3.487981546700235747e+00
9.700000000000000000e+01,2.022152163094759203e-05,3.487981544848449023e+00
9.800000000000000000e+01,1.917796141581717961e-05,3.487981543056533074e+00
9.900000000000000000e+01,1.820421221632173570e-05,3.487981541321177659e+00
1.000000000000000000e+02,1.729532234395758650e-05,3.487981539639313677e+00
