time,amplitude,energy
0.000000000000000000e+00,1.001759860856221707e-02,3.489383234769067421e+00
1.000000000000000000e+00,9.184191777227262987e-03,3.488849660226330585e+00
2.000000000000000000e+00,8.487098479978499865e-03,3.488724993010779318e+00
3.000000000000000000e+00,7.838757473850016533e-03,3.488618781891983822e+00
4.000000000000000000e+00,7.240528702509074765e-03,3.488527992607805661e+00
5.000000000000000000e+00,6.694428011870756645e-03,3.488450285210340063e+00
6.000000000000000000e+00,6.194236349083170889e-03,3.488383729060133831e+00
7.000000000000000000e+00,5.734907459928911821e-03,3.488326698517528968e+00
8.000000000000000000e+00,5.312232197762056796e-03,3.488277813905561242e+00
9.000000000000000000e+00,4.922633899043515893e-03,3.488235900337184336e+00
1.000000000000000000e+01,4.563030724601346844e-03,3.488199955664070817e+00
1.100000000000000000e+01,4.230738594550031983e-03,3.488169124127665111e+00
1.200000000000000000e+01,3.923399724585385773e-03,3.488142674241693442e+00
1.300000000000000000e+01,3.638927772283639950e-03,3.488119980155625743e+00
1.400000000000000000e+01,3.375464281573925529e-03,3.488100505976564403e+00
1.500000000000000000e+01,3.131343360119276387e-03,3.488083792587757248e+00
1.600000000000000000e+01,2.905062810721226185e-03,3.488069446536202101e+00
1.700000000000000000e+01,2.695260592426917956e-03,3.488057130614478751e+00
1.800000000000000000e+01,2.500695753503312524e-03,3.488046555831155970e+00
1.900000000000000000e+01,2.320233062379217781e-03,3.488037474532283522e+00
2.000000000000000000e+01,2.152830606846622974e-03,3.488029674493334564e+00
2.100000000000000000e+01,1.997529700604405711e-03,3.488022973840646745e+00
2.200000000000000000e+01,1.853446541345837861e-03,3.488017216688829691e+00
2.300000000000000000e+01,1.719765181376009533e-03,3.488012269398635734e+00
2.400000000000000000e+01,1.595731484510698461e-03,3.488008017372231429e+00
2.500000000000000000e+01,1.480647836269610718e-03,3.488004362312708384e+00
2.600000000000000000e+01,1.373868445869730337e-03,3.488001219882765014e+00
2.700000000000000000e+01,1.274795129861228116e-03,3.487998517705311663e+00
2.800000000000000000e+01,1.182873502186321257e-03,3.487996193655728661e+00
2.900000000000000000e+01,1.097589517483454902e-03,3.487994194402296966e+00
3.000000000000000000e+01,1.018466328505385210e-03,3.487992474157609823e+00
3.100000000000000000e+01,9.450614261120038329e-04,3.487990993609493717e+00
3.200000000000000000e+01,8.769640347437435146e-04,3.487989719004525480e+00
3.300000000000000000e+01,8.137927383536358583e-04,3.487988621361920671e+00
3.400000000000000000e+01,7.551933140198530126e-04,3.487987675798695619e+00
3.500000000000000000e+01,7.008367513699487183e-04,3.487986860950126999e+00
3.600000000000000000e+01,6.504174376801841184e-04,3.487986158472008658e+00
3.700000000000000000e+01,6.036514907710177624e-04,3.487985552613027007e+00
3.800000000000000000e+01,5.602752232375940444e-04,3.487985029847509910e+00
3.900000000000000000e+01,5.200437242059430254e-04,3.487984578559955029e+00
4.000000000000000000e+01,4.827295461339309313e-04,3.487984188774229999e+00
4.100000000000000000e+01,4.481214864095472983e-04,3.487983851921021561e+00
4.200000000000000000e+01,4.160234547689323215e-04,3.487983560638305391e+00
4.300000000000000000e+01,3.862534191693689500e-04,3.487983308600085319e+00
4.400000000000000000e+01,3.586424235751950462e-04,3.487983090369518813e+00
4.500000000000000000e+01,3.330336721743543116e-04,3.487982901272896452e+00
4.600000000000000000e+01,3.092816751119609187e-04,3.487982737291559499e+00
4.700000000000000000e+01,2.872514515929180945e-04,3.487982594969211814e+00
4.800000000000000000e+01,2.668177865479126609e-04,3.487982471332470080e+00
4.900000000000000000e+01,2.478645373666932272e-04,3.487982363822641041e+00
5.000000000000000000e+01,2.302839875422124649e-04,3.487982270237299343e+00
5.100000000000000000e+01,2.139762443232884337e-04,3.487982188680116558e+00
5.200000000000000000e+01,1.988486776423048497e-04,3.487982117517872016e+00
5.300000000000000000e+01,1.848153977137556581e-04,3.487982055343452181e+00
5.400000000000000000e+01,1.717967689206512105e-04,3.487982000944275018e+00
5.500000000000000000e+01,1.597189576412194612e-04,3.487981953275009150e+00
5.600000000000000000e+01,1.485135118777236585e-04,3.487981911434242299e+00
5.700000000000000000e+01,1.381169706219376181e-04,3.487981874644419999e+00
5.800000000000000000e+01,1.284705009953479582e-04,3.487981842234616714e+00
5.900000000000000000e+01,1.195195613139521384e-04,3.487981813625702809e+00
6.000000000000000000e+01,1.112135883405418468e-04,3.487981788317628951e+00
6.100000000000000000e+01,1.035057070699618720e-04,3.487981765878457985e+00
6.200000000000000000e+01,9.635246149647391789e-05,3.487981745934955580e+00
6.300000000000000000e+01,8.971356490405923978e-05,3.487981728164483819e+00
6.400000000000000000e+01,8.355166830975591097e-05,3.487981712288029446e+00
6.500000000000000000e+01,7.783214576811969820e-05,3.487981698064201552e+00
6.600000000000000000e+01,7.252289534709355223e-05,3.487981685284066380e+00
6.700000000000000000e+01,6.759415464024920439e-05,3.487981673766676227e+00
6.800000000000000000e+01,6.301832977406718328e-05,3.487981663355260054e+00
6.900000000000000000e+01,5.876983693109405493e-05,3.487981653913910574e+00
7.000000000000000000e+01,5.482495547737276098e-05,3.487981645324732316e+00
7.100000000000000000e+01,5.116169185170882372e-05,3.487981637485388475e+00
7.200000000000000000e+01,4.775965342712629180e-05,3.487981630307019021e+00
7.300000000000000000e+01,4.459993161515241056e-05,3.487981623712350210e+00
7.400000000000000000e+01,4.166499353563946073e-05,3.487981617634174913e+00
7.500000000000000000e+01,3.893858162301588877e-05,3.487981612013987487e+00
7.600000000000000000e+01,3.640562058238039356e-05,3.487981606800794943e+00
7.700000000000000000e+01,3.405213116358662973e-05,3.487981601950126631e+00
7.800000000000000000e+01,3.186515024033997889e-05,3.487981597423138957e+00
7.900000000000000000e+01,2.983265674028068304e-05,3.487981593185889739e+00
8.000000000000000000e+01,2.794350299195613729e-05,3.487981589208675182e+00
8.100000000000000000e+01,2.618735108878000872e-05,3.487981585465430800e+00
8.200000000000000000e+01,2.455461390726831894e-05,3.487981581933341957e+00
8.300000000000000000e+01,2.303640042605747951e-05,3.487981578592310505e+00
8.400000000000000000e+01,2.162446505049597789e-05,3.487981575424674574e+00
8.500000000000000000e+01,2.031116062201077099e-05,3.487981572414844411e+00
8.600000000000000000e+01,1.908939486616745285e-05,3.487981569549070571e+00
8.700000000000000000e+01,1.795259001224902562e-05,3.487981566815178791e+00
8.800000000000000000e+01,1.689464536264173589e-05,3.487981564202372819e+00
8.900000000000000000e+01,1.590990258087954246e-05,3.487981561701072319e+00
9.000000000000000000e+01,1.499311352115562102e-05,3.487981559302754331e+00
