tag,init_file,output_dir,case_region,n_pores_requested,n_pores_effective,k_spacing,depth_ratio,width,height,final_vtu,n_bubbles,status
000,/home/fiorello/init_files_grid/000.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/000,intermediate,1,1,2.0,8.0,0.1045,0.6459999999999999,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/000/surf_20.0.vtu,0,ok
001,/home/fiorello/init_files_grid/001.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/001,intermediate,1,1,2.0,9.0,0.1045,0.7505,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/001/surf_20.0.vtu,0,ok
002,/home/fiorello/init_files_grid/002.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/002,intermediate,1,1,2.0,10.0,0.1045,0.855,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/002/surf_20.0.vtu,0,ok
003,/home/fiorello/init_files_grid/003.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/003,intermediate,1,1,2.0,11.0,0.1045,0.9595,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/003/surf_20.0.vtu,0,ok
004,/home/fiorello/init_files_grid/004.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/004,intermediate,1,1,2.0,12.0,0.1045,1.064,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/004/surf_20.0.vtu,0,ok
005,/home/fiorello/init_files_grid/005.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/005,intermediate,1,1,2.0,13.0,0.1045,1.1685,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/005/surf_20.0.vtu,0,ok
006,/home/fiorello/init_files_grid/006.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/006,intermediate,1,1,2.2727272727272725,8.0,0.1045,0.6459999999999999,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/006/surf_20.0.vtu,0,ok
007,/home/fiorello/init_files_grid/007.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/007,intermediate,1,1,2.2727272727272725,9.0,0.1045,0.7505,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/007/surf_20.0.vtu,0,ok
008,/home/fiorello/init_files_grid/008.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/008,intermediate,1,1,2.2727272727272725,10.0,0.1045,0.855,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/008/surf_20.0.vtu,0,ok
009,/home/fiorello/init_files_grid/009.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/009,intermediate,1,1,2.2727272727272725,11.0,0.1045,0.9595,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/009/surf_20.0.vtu,0,ok
010,/home/fiorello/init_files_grid/010.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/010,intermediate,1,1,2.2727272727272725,12.0,0.1045,1.064,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/010/surf_20.0.vtu,0,ok
011,/home/fiorello/init_files_grid/011.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/011,intermediate,1,1,2.2727272727272725,13.0,0.1045,1.1685,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/011/surf_20.0.vtu,0,ok
012,/home/fiorello/init_files_grid/012.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/012,intermediate,1,1,2.5454545454545454,8.0,0.1045,0.6459999999999999,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/012/surf_20.0.vtu,0,ok
013,/home/fiorello/init_files_grid/013.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/013,intermediate,1,1,2.5454545454545454,9.0,0.1045,0.7505,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/013/surf_20.0.vtu,0,ok
014,/home/fiorello/init_files_grid/014.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/014,intermediate,1,1,2.5454545454545454,10.0,0.1045,0.855,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/014/surf_20.0.vtu,0,ok
015,/home/fiorello/init_files_grid/015.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/015,intermediate,1,1,2.5454545454545454,11.0,0.1045,0.9595,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/015/surf_20.0.vtu,0,ok
016,/home/fiorello/init_files_grid/016.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/016,intermediate,1,1,2.5454545454545454,12.0,0.1045,1.064,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/016/surf_20.0.vtu,0,ok
017,/home/fiorello/init_files_grid/017.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/017,intermediate,1,1,2.5454545454545454,13.0,0.1045,1.1685,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/017/surf_20.0.vtu,0,ok
018,/home/fiorello/init_files_grid/018.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/018,intermediate,1,1,2.8181818181818183,8.0,0.1045,0.6459999999999999,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/018/surf_20.0.vtu,0,ok
019,/home/fiorello/init_files_grid/019.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/019,intermediate,1,1,2.8181818181818183,9.0,0.1045,0.7505,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/019/surf_20.0.vtu,0,ok
