tag,init_file,output_dir,case_region,n_pores_requested,n_pores_effective,k_spacing,depth_ratio,width,height
000,/home/fiorello/init_files_grid/000.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/000,intermediate,1,1,2.0,8.0,0.1045,0.6459999999999999
001,/home/fiorello/init_files_grid/001.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/001,intermediate,1,1,2.0,9.0,0.1045,0.7505
002,/home/fiorello/init_files_grid/002.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/002,intermediate,1,1,2.0,10.0,0.1045,0.855
003,/home/fiorello/init_files_grid/003.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/003,intermediate,1,1,2.0,11.0,0.1045,0.9595
004,/home/fiorello/init_files_grid/004.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/004,intermediate,1,1,2.0,12.0,0.1045,1.064
005,/home/fiorello/init_files_grid/005.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/005,intermediate,1,1,2.0,13.0,0.1045,1.1685
006,/home/fiorello/init_files_grid/006.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/006,intermediate,1,1,2.2727272727272725,8.0,0.1045,0.6459999999999999
007,/home/fiorello/init_files_grid/007.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/007,intermediate,1,1,2.2727272727272725,9.0,0.1045,0.7505
008,/home/fiorello/init_files_grid/008.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/008,intermediate,1,1,2.2727272727272725,10.0,0.1045,0.855
009,/home/fiorello/init_files_grid/009.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/009,intermediate,1,1,2.2727272727272725,11.0,0.1045,0.9595
010,/home/fiorello/init_files_grid/010.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/010,intermediate,1,1,2.2727272727272725,12.0,0.1045,1.064
011,/home/fiorello/init_files_grid/011.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/011,intermediate,1,1,2.2727272727272725,13.0,0.1045,1.1685
012,/home/fiorello/init_files_grid/012.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/012,intermediate,1,1,2.5454545454545454,8.0,0.1045,0.6459999999999999
013,/home/fiorello/init_files_grid/013.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/013,intermediate,1,1,2.5454545454545454,9.0,0.1045,0.7505
014,/home/fiorello/init_files_grid/014.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/014,intermediate,1,1,2.5454545454545454,10.0,0.1045,0.855
015,/home/fiorello/init_files_grid/015.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/015,intermediate,1,1,2.5454545454545454,11.0,0.1045,0.9595
016,/home/fiorello/init_files_grid/016.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/016,intermediate,1,1,2.5454545454545454,12.0,0.1045,1.064
017,/home/fiorello/init_files_grid/017.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/017,intermediate,1,1,2.5454545454545454,13.0,0.1045,1.1685
018,/home/fiorello/init_files_grid/018.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/018,intermediate,1,1,2.8181818181818183,8.0,0.1045,0.6459999999999999
019,/home/fiorello/init_files_grid/019.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/019,intermediate,1,1,2.8181818181818183,9.0,0.1045,0.7505
020,/home/fiorello/init_files_grid/020.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/020,intermediate,1,1,2.8181818181818183,10.0,0.1045,0.855
021,/home/fiorello/init_files_grid/021.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/021,intermediate,1,1,2.8181818181818183,11.0,0.1045,0.9595
022,/home/fiorello/init_files_grid/022.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/022,intermediate,1,1,2.8181818181818183,12.0,0.1045,1.064
023,/home/fiorello/init_files_grid/023.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/023,intermediate,1,1,2.8181818181818183,13.0,0.1045,1.1685
024,/home/fiorello/init_files_grid/024.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/024,intermediate,1,1,3.090909090909091,8.0,0.1045,0.6459999999999999
025,/home/fiorello/init_files_grid/025.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/025,intermediate,1,1,3.090909090909091,9.0,0.1045,0.7505
026,/home/fiorello/init_files_grid/026.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/026,intermediate,1,1,3.090909090909091,10.0,0.1045,0.855
027,/home/fiorello/init_files_grid/027.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/027,intermediate,1,1,3.090909090909091,11.0,0.1045,0.9595
028,/home/fiorello/init_files_grid/028.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/028,intermediate,1,1,3.090909090909091,12.0,0.1045,1.064
029,/home/fiorello/init_files_grid/029.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/029,intermediate,1,1,3.090909090909091,13.0,0.1045,1.1685
030,/home/fiorello/init_files_grid/030.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/030,intermediate,1,1,3.3636363636363633,8.0,0.1045,0.6459999999999999
031,/home/fiorello/init_files_grid/031.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/031,intermediate,1,1,3.3636363636363633,9.0,0.1045,0.7505
032,/home/fiorello/init_files_grid/032.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/032,intermediate,1,1,3.3636363636363633,10.0,0.1045,0.855
033,/home/fiorello/init_files_grid/033.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/033,intermediate,1,1,3.3636363636363633,11.0,0.1045,0.9595
034,/home/fiorello/init_files_grid/034.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/034,intermediate,1,1,3.3636363636363633,12.0,0.1045,1.064
035,/home/fiorello/init_files_grid/035.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/035,intermediate,1,1,3.3636363636363633,13.0,0.1045,1.1685
036,/home/fiorello/init_files_grid/036.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/036,intermediate,1,1,3.6363636363636362,8.0,0.1045,0.6459999999999999
037,/home/fiorello/init_files_grid/037.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/037,intermediate,1,1,3.6363636363636362,9.0,0.1045,0.7505
038,/home/fiorello/init_files_grid/038.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/038,intermediate,1,1,3.6363636363636362,10.0,0.1045,0.855
